=== Задание 7: CpG islands ===
start	end	R(CG)	GC%
28690	28890	0.811	59.5
28691	28891	0.800	60.0
28692	28892	0.796	60.0
28693	28893	0.811	59.5
28694	28894	0.796	60.0
28695	28895	0.796	60.0
28696	28896	0.781	60.5
28697	28897	0.781	60.5
28698	28898	0.770	61.0
28699	28899	0.773	61.0
28700	28900	0.773	61.0
28701	28901	0.759	61.5
28702	28902	0.744	62.0
28703	28903	0.744	62.0
28704	28904	0.742	62.0
28705	28905	0.689	62.0
28706	28906	0.701	61.5
28707	28907	0.691	62.0
28708	28908	0.694	62.0
28709	28909	0.744	62.0
28710	28910	0.731	62.5
28711	28911	0.728	62.5
28712	28912	0.718	63.0
28713	28913	0.767	63.0
28714	28914	0.764	63.0
28715	28915	0.763	63.0
28716	28916	0.752	63.5
28717	28917	0.764	63.0
28718	28918	0.764	63.0
28719	28919	0.753	63.5
28720	28920	0.753	63.5
28721	28921	0.741	64.0
28722	28922	0.730	64.5
28723	28923	0.730	64.5
28724	28924	0.730	64.5
28725	28925	0.730	64.5
28726	28926	0.766	65.0
28727	28927	0.766	65.0
28728	28928	0.766	65.0
28729	28929	0.777	64.5
28730	28930	0.764	65.0
28731	28931	0.775	64.5
28732	28932	0.763	65.0
28733	28933	0.764	65.0
28734	28934	0.764	65.0
28735	28935	0.799	65.5
28736	28936	0.752	65.5
28737	28937	0.799	65.5
28738	28938	0.799	65.5
28739	28939	0.845	65.5
28740	28940	0.845	65.5
28741	28941	0.844	65.5
28742	28942	0.831	66.0
28743	28943	0.819	66.5
28744	28944	0.819	66.5
28745	28945	0.831	66.0
28746	28946	0.832	66.0
28747	28947	0.834	66.0
28748	28948	0.822	66.5
28749	28949	0.834	66.0
28750	28950	0.786	66.0
28751	28951	0.799	65.5
28752	28952	0.763	65.0
28753	28953	0.764	65.0
28754	28954	0.766	65.0
28755	28955	0.755	65.5
28756	28956	0.789	66.0
28757	28957	0.776	66.5
28758	28958	0.765	67.0
28759	28959	0.765	67.0
28760	28960	0.753	67.5
28761	28961	0.752	67.5
28762	28962	0.740	68.0
28763	28963	0.729	68.5
28764	28964	0.719	69.0
28765	28965	0.718	69.0
28766	28966	0.718	69.0
28767	28967	0.708	69.5
28768	28968	0.708	69.5
28769	28969	0.718	69.0
28770	28970	0.708	69.5
28771	28971	0.718	69.0
28772	28972	0.718	69.0
28773	28973	0.749	69.5
28774	28974	0.708	69.5
28775	28975	0.718	69.0
28776	28976	0.718	69.0
28777	28977	0.708	69.5
28778	28978	0.718	69.0
28779	28979	0.718	69.0
28780	28980	0.728	68.5
28781	28981	0.728	68.5
28782	28982	0.718	69.0
28783	28983	0.708	69.5
28784	28984	0.708	69.5
28785	28985	0.719	69.0
28786	28986	0.709	69.5
28787	28987	0.710	69.5
28788	28988	0.710	69.5
28789	28989	0.742	70.0
28790	28990	0.742	70.0
28791	28991	0.742	70.0
28792	28992	0.754	69.5
28793	28993	0.712	69.5
28794	28994	0.710	69.5
28795	28995	0.742	70.0
28796	28996	0.732	70.5
28797	28997	0.734	70.5
28798	28998	0.734	70.5
28799	28999	0.734	70.5
28800	29000	0.734	70.5
28801	29001	0.734	70.5
28802	29002	0.723	71.0
28803	29003	0.765	71.0
28804	29004	0.753	71.5
28805	29005	0.765	71.0
28806	29006	0.767	71.0
28807	29007	0.780	70.5
28808	29008	0.741	70.5
28809	29009	0.739	70.5
28810	29010	0.739	70.5
28811	29011	0.727	71.0
28812	29012	0.770	71.0
28813	29013	0.773	71.0
28814	29014	0.764	71.5
28815	29015	0.773	71.0
28816	29016	0.770	71.0
28817	29017	0.767	71.0
28818	29018	0.755	71.5
28819	29019	0.767	71.0
28820	29020	0.758	71.5
28821	29021	0.758	71.5
28822	29022	0.788	72.0
28823	29023	0.788	72.0
28824	29024	0.788	72.0
28825	29025	0.748	72.0
28826	29026	0.746	72.0
28827	29027	0.755	71.5
28828	29028	0.744	72.0
28829	29029	0.753	71.5
28830	29030	0.753	71.5
28831	29031	0.744	72.0
28832	29032	0.732	72.5
28833	29033	0.732	72.5
28834	29034	0.732	72.5
28835	29035	0.732	72.5
28836	29036	0.732	72.5
28837	29037	0.734	72.5
28838	29038	0.734	72.5
28839	29039	0.734	72.5
28840	29040	0.707	72.0
28841	29041	0.705	72.0
28842	29042	0.705	72.0
28843	29043	0.694	72.5
28844	29044	0.703	72.0
28845	29045	0.694	72.5
28846	29046	0.684	73.0
28847	29047	0.692	72.5
28848	29048	0.701	72.0
28849	29049	0.703	72.0
28850	29050	0.705	72.0
28851	29051	0.707	72.0
28852	29052	0.667	72.0
28853	29053	0.665	72.0
28854	29054	0.705	72.0
28855	29055	0.705	72.0
28856	29056	0.696	72.5
28857	29057	0.685	73.0
28858	29058	0.696	72.5
28859	29059	0.707	72.0
28860	29060	0.709	72.0
28861	29061	0.700	72.5
28862	29062	0.689	73.0
28863	29063	0.651	73.0
28864	29064	0.689	73.0
28865	29065	0.653	73.0
28866	29066	0.653	73.0
28867	29067	0.661	72.5
28868	29068	0.653	73.0
28869	29069	0.651	73.0
28870	29070	0.651	73.0
28871	29071	0.653	73.0
28872	29072	0.646	73.5
28873	29073	0.646	73.5
28874	29074	0.636	74.0
28875	29075	0.673	74.0
28876	29076	0.663	74.5
28877	29077	0.691	75.0
28878	29078	0.691	75.0
28879	29079	0.681	75.5
28880	29080	0.689	75.0
28881	29081	0.687	75.0
28882	29082	0.685	75.0
28883	29083	0.693	74.5
28884	29084	0.685	75.0
28885	29085	0.687	75.0
28886	29086	0.689	75.0
28887	29087	0.699	74.5
28888	29088	0.702	74.5
28889	29089	0.694	75.0
28890	29090	0.694	75.0
28891	29091	0.668	74.5
28892	29092	0.668	74.5
28893	29093	0.657	75.0
28894	29094	0.665	74.5
28895	29095	0.663	74.5
28896	29096	0.660	74.5
28897	29097	0.689	75.0
28898	29098	0.691	75.0
28899	29099	0.694	75.0
28900	29100	0.686	75.5
28901	29101	0.683	75.5
28902	29102	0.719	75.5
28903	29103	0.719	75.5
28904	29104	0.719	75.5
28905	29105	0.719	75.5
28906	29106	0.708	76.0
28907	29107	0.708	76.0
28908	29108	0.683	75.5
28909	29109	0.691	75.0
28910	29110	0.691	75.0
28911	29111	0.699	74.5
28912	29112	0.663	74.5
28913	29113	0.699	74.5
28914	29114	0.697	74.5
28915	29115	0.695	74.5
28916	29116	0.706	74.0
28917	29117	0.695	74.5
28918	29118	0.693	74.5
28919	29119	0.693	74.5
28920	29120	0.721	75.0
28921	29121	0.721	75.0
28922	29122	0.723	75.0
28923	29123	0.712	75.5
28924	29124	0.748	75.5
28925	29125	0.714	75.5
28926	29126	0.723	75.0
28927	29127	0.721	75.0
28928	29128	0.748	75.5
28929	29129	0.739	76.0
28930	29130	0.739	76.0
28931	29131	0.730	76.5
28932	29132	0.728	76.5
28933	29133	0.728	76.5
28934	29134	0.694	76.5
28935	29135	0.702	76.0
28936	29136	0.669	76.0
28937	29137	0.667	76.0
28938	29138	0.669	76.0
28939	29139	0.669	76.0
28940	29140	0.659	76.5
28941	29141	0.694	76.5
28942	29142	0.694	76.5
28943	29143	0.694	76.5
28944	29144	0.720	77.0
28945	29145	0.720	77.0
28946	29146	0.730	76.5
28947	29147	0.730	76.5
28948	29148	0.767	76.5
28949	29149	0.756	77.0
28950	29150	0.765	76.5
28951	29151	0.756	77.0
28952	29152	0.756	77.0
28953	29153	0.759	77.0
28954	29154	0.761	77.0
28955	29155	0.738	76.5
28956	29156	0.738	76.5
28957	29157	0.735	76.5
28958	29158	0.735	76.5
28959	29159	0.761	77.0
28960	29160	0.761	77.0
28961	29161	0.761	77.0
28962	29162	0.759	77.0
28963	29163	0.767	76.5
28964	29164	0.733	76.5
28965	29165	0.730	76.5
28966	29166	0.765	76.5
28967	29167	0.765	76.5
28968	29168	0.756	77.0
28969	29169	0.745	77.5
28970	29170	0.754	77.0
28971	29171	0.745	77.5
28972	29172	0.711	77.5
28973	29173	0.745	77.5
28974	29174	0.747	77.5
28975	29175	0.737	78.0
28976	29176	0.735	78.0
28977	29177	0.768	78.0
28978	29178	0.757	78.5
28979	29179	0.790	78.5
28980	29180	0.781	79.0
28981	29181	0.790	78.5
28982	29182	0.799	78.0
28983	29183	0.798	78.0
28984	29184	0.807	77.5
28985	29185	0.796	78.0
28986	29186	0.795	78.0
28987	29187	0.805	77.5
28988	29188	0.772	77.5
28989	29189	0.771	77.5
28990	29190	0.781	77.0
28991	29191	0.781	77.0
28992	29192	0.771	77.5
28993	29193	0.772	77.5
28994	29194	0.739	77.5
28995	29195	0.772	77.5
28996	29196	0.771	77.5
28997	29197	0.781	77.0
28998	29198	0.771	77.5
28999	29199	0.772	77.5
29000	29200	0.772	77.5
29001	29201	0.783	77.0
29002	29202	0.760	76.5
29003	29203	0.758	76.5
29004	29204	0.769	76.0
29005	29205	0.758	76.5
29006	29206	0.793	76.5
29007	29207	0.783	77.0
29008	29208	0.793	76.5
29009	29209	0.793	76.5
29010	29210	0.804	76.0
29011	29211	0.770	76.0
29012	29212	0.770	76.0
29013	29213	0.780	75.5
29014	29214	0.790	75.0
29015	29215	0.779	75.5
29016	29216	0.815	75.5
29017	29217	0.817	75.5
29018	29218	0.829	75.0
29019	29219	0.817	75.5
29020	29220	0.815	75.5
29021	29221	0.780	75.5
29022	29222	0.815	75.5
29023	29223	0.817	75.5
29024	29224	0.819	75.5
29025	29225	0.819	75.5
29026	29226	0.819	75.5
29027	29227	0.819	75.5
29028	29228	0.819	75.5
29029	29229	0.807	76.0
29030	29230	0.796	76.5
29031	29231	0.830	76.5
29032	29232	0.830	76.5
29033	29233	0.830	76.5
29034	29234	0.819	77.0
29035	29235	0.843	77.5
29036	29236	0.841	77.5
29037	29237	0.839	77.5
29038	29238	0.851	77.0
29039	29239	0.839	77.5
29040	29240	0.828	78.0
29041	29241	0.828	78.0
29042	29242	0.839	77.5
29043	29243	0.839	77.5
29044	29244	0.828	78.0
29045	29245	0.838	77.5
29046	29246	0.839	77.5
29047	29247	0.828	78.0
29048	29248	0.817	78.5
29049	29249	0.816	78.5
29050	29250	0.816	78.5
29051	29251	0.826	78.0
29052	29252	0.826	78.0
29053	29253	0.793	78.0
29054	29254	0.826	78.0
29055	29255	0.826	78.0
29056	29256	0.826	78.0
29057	29257	0.837	77.5
29058	29258	0.826	78.0
29059	29259	0.816	78.5
29060	29260	0.816	78.5
29061	29261	0.816	78.5
29062	29262	0.826	78.0
29063	29263	0.803	77.5
29064	29264	0.803	77.5
29065	29265	0.814	77.0
29066	29266	0.825	76.5
29067	29267	0.815	77.0
29068	29268	0.849	77.0
29069	29269	0.849	77.0
29070	29270	0.838	77.5
29071	29271	0.839	77.5
29072	29272	0.841	77.5
29073	29273	0.875	77.5
29074	29274	0.841	77.5
29075	29275	0.843	77.5
29076	29276	0.819	77.0
29077	29277	0.819	77.0
29078	29278	0.819	77.0
29079	29279	0.819	77.0
29080	29280	0.809	77.5
29081	29281	0.809	77.5
29082	29282	0.809	77.5
29083	29283	0.799	78.0
29084	29284	0.811	77.5
29085	29285	0.813	77.5
29086	29286	0.847	77.5
29087	29287	0.847	77.5
29088	29288	0.849	77.5
29089	29289	0.852	77.5
29090	29290	0.843	78.0
29091	29291	0.843	78.0
29092	29292	0.855	77.5
29093	29293	0.855	77.5
29094	29294	0.855	77.5
29095	29295	0.865	77.0
29096	29296	0.831	77.0
29097	29297	0.834	77.0
29098	29298	0.838	77.0
29099	29299	0.872	77.0
29100	29300	0.877	77.0
29101	29301	0.872	77.0
29102	29302	0.872	77.0
29103	29303	0.863	77.5
29104	29304	0.867	77.5
29105	29305	0.867	77.5
29106	29306	0.867	77.5
29107	29307	0.897	77.5
29108	29308	0.884	78.0
29109	29309	0.884	78.0
29110	29310	0.888	78.0
29111	29311	0.908	78.5
29112	29312	0.874	78.5
29113	29313	0.878	78.5
29114	29314	0.888	78.0
29115	29315	0.888	78.0
29116	29316	0.878	78.5
29117	29317	0.888	78.0
29118	29318	0.888	78.0
29119	29319	0.863	77.5
29120	29320	0.867	77.5
29121	29321	0.872	77.5
29122	29322	0.886	77.0
29123	29323	0.846	77.0
29124	29324	0.850	77.0
29125	29325	0.886	77.0
29126	29326	0.886	77.0
29127	29327	0.846	77.0
29128	29328	0.850	77.0
29129	29329	0.855	77.0
29130	29330	0.891	77.0
29131	29331	0.897	77.0
29132	29332	0.897	77.0
29133	29333	0.897	77.0
29134	29334	0.906	76.5
29135	29335	0.897	77.0
29136	29336	0.903	77.0
29137	29337	0.866	77.0
29138	29338	0.903	77.0
29139	29339	0.903	77.0
29140	29340	0.876	76.5
29141	29341	0.891	76.0
29142	29342	0.891	76.0
29143	29343	0.854	76.0
29144	29344	0.869	75.5
29145	29345	0.860	76.0
29146	29346	0.851	76.5
29147	29347	0.814	76.5
29148	29348	0.851	76.5
29149	29349	0.851	76.5
29150	29350	0.842	77.0
29151	29351	0.879	77.0
29152	29352	0.870	77.5
29153	29353	0.877	77.5
29154	29354	0.914	77.5
29155	29355	0.905	78.0
29156	29356	0.921	77.5
29157	29357	0.931	77.0
29158	29358	0.893	77.0
29159	29359	0.901	77.0
29160	29360	0.939	77.0
29161	29361	0.947	77.0
29162	29362	0.957	76.5
29163	29363	0.947	77.0
29164	29364	0.957	76.5
29165	29365	0.910	76.5
29166	29366	0.919	76.5
29167	29367	0.927	76.5
29168	29368	0.966	76.5
29169	29369	0.957	76.5
29170	29370	0.957	76.5
29171	29371	0.957	76.5
29172	29372	0.919	76.5
29173	29373	0.927	76.5
29174	29374	0.966	76.5
29175	29375	0.966	76.5
29176	29376	0.937	76.0
29177	29377	0.937	76.0
29178	29378	0.889	76.0
29179	29379	0.889	76.0
29180	29380	0.906	75.5
29181	29381	0.898	76.0
29182	29382	0.889	76.5
29183	29383	0.898	76.0
29184	29384	0.898	76.0
29185	29385	0.889	76.0
29186	29386	0.889	76.0
29187	29387	0.880	76.5
29188	29388	0.889	76.5
29189	29389	0.889	76.5
29190	29390	0.910	77.0
29191	29391	0.901	77.5
29192	29392	0.910	77.5
29193	29393	0.947	77.5
29194	29394	0.910	77.5
29195	29395	0.919	77.5
29196	29396	0.919	77.5
29197	29397	0.910	78.0
29198	29398	0.920	78.0
29199	29399	0.939	77.5
29200	29400	0.929	77.5
29201	29401	0.929	77.5
29202	29402	0.920	78.0
29203	29403	0.920	78.0
29204	29404	0.939	78.5
29205	29405	0.902	78.5
29206	29406	0.912	78.5
29207	29407	0.922	78.5
29208	29408	0.941	79.0
29209	29409	0.941	79.0
29210	29410	0.959	79.5
29211	29411	0.970	79.5
29212	29412	0.981	79.5
29213	29413	0.981	79.5
29214	29414	0.972	80.0
29215	29415	0.935	80.0
29216	29416	0.972	80.0
29217	29417	0.972	80.0
29218	29418	0.952	80.5
29219	29419	0.961	80.0
29220	29420	0.961	80.0
29221	29421	0.924	80.0
29222	29422	0.943	79.5
29223	29423	0.963	79.0
29224	29424	0.984	78.5
29225	29425	0.984	78.5
29226	29426	1.011	78.5
29227	29427	1.002	79.0
29228	29428	1.002	79.0
29229	29429	1.028	79.0
29230	29430	0.990	79.0
29231	29431	1.002	79.0
29232	29432	1.028	79.0
29233	29433	1.028	79.0
29234	29434	0.999	78.5
29235	29435	1.011	78.5
29236	29436	1.037	78.5
29237	29437	1.037	78.5
29238	29438	1.028	79.0
29239	29439	1.028	79.0
29240	29440	1.037	78.5
29241	29441	1.037	78.5
29242	29442	1.028	79.0
29243	29443	1.037	78.5
29244	29444	1.037	78.5
29245	29445	1.037	78.5
29246	29446	1.037	78.5
29247	29447	1.037	78.5
29248	29448	1.064	78.5
29249	29449	1.064	78.5
29250	29450	1.064	78.5
29251	29451	1.054	79.0
29252	29452	1.064	78.5
29253	29453	1.026	78.5
29254	29454	1.037	78.5
29255	29455	1.050	78.5
29256	29456	1.063	78.5
29257	29457	1.079	79.0
29258	29458	1.089	78.5
29259	29459	1.076	78.5
29260	29460	1.076	78.5
29261	29461	1.102	78.5
29262	29462	1.091	79.0
29263	29463	1.106	79.5
29264	29464	1.095	79.5
29265	29465	1.085	80.0
29266	29466	1.085	80.0
29267	29467	1.049	80.0
29268	29468	1.060	80.0
29269	29469	1.070	79.5
29270	29470	1.058	79.5
29271	29471	1.048	79.5
29272	29472	1.021	79.0
29273	29473	1.031	79.0
29274	29474	1.031	79.0
29275	29475	1.031	79.0
29276	29476	1.022	79.5
29277	29477	1.058	79.5
29278	29478	1.079	79.0
29279	29479	1.079	79.0
29280	29480	1.105	79.0
29281	29481	1.115	78.5
29282	29482	1.115	78.5
29283	29483	1.115	78.5
29284	29484	1.105	79.0
29285	29485	1.094	79.0
29286	29486	1.094	79.0
29287	29487	1.094	79.0
29288	29488	1.084	79.0
29289	29489	1.084	79.0
29290	29490	1.110	79.0
29291	29491	1.099	79.5
29292	29492	1.099	79.5
29293	29493	1.089	79.5
29294	29494	1.089	79.5
29295	29495	1.079	80.0
29296	29496	1.079	80.0
29297	29497	1.089	79.5
29298	29498	1.045	79.5
29299	29499	1.064	79.0
29300	29500	1.029	79.0
29301	29501	1.064	79.0
29302	29502	1.064	79.0
29303	29503	1.056	79.0
29304	29504	1.056	79.0
29305	29505	1.056	79.0
29306	29506	1.047	79.0
29307	29507	1.066	78.5
29308	29508	1.066	78.5
29309	29509	1.066	78.5
29310	29510	1.031	78.5
29311	29511	1.066	78.5
29312	29512	1.066	78.5
29313	29513	1.093	78.5
29314	29514	1.074	79.0
29315	29515	1.067	79.0
29316	29516	1.067	79.0
29317	29517	1.056	79.5
29318	29518	1.067	79.0
29319	29519	1.049	79.5
29320	29520	1.042	79.5
29321	29521	1.036	79.5
29322	29522	1.026	80.0
29323	29523	1.042	79.5
29324	29524	1.009	79.5
29325	29525	1.042	79.5
29326	29526	1.026	80.0
29327	29527	1.042	79.5
29328	29528	1.053	79.0
29329	29529	1.019	79.0
29330	29530	1.036	78.5
29331	29531	1.036	78.5
29332	29532	1.047	78.0
29333	29533	1.047	78.0
29334	29534	1.064	78.5
29335	29535	1.064	78.5
29336	29536	1.075	78.0
29337	29537	1.041	78.0
29338	29538	1.058	77.5
29339	29539	1.065	77.5
29340	29540	1.065	77.5
29341	29541	1.054	78.0
29342	29542	1.061	78.0
29343	29543	1.089	78.0
29344	29544	1.089	78.0
29345	29545	1.082	78.0
29346	29546	1.082	78.0
29347	29547	1.058	77.5
29348	29548	1.065	77.5
29349	29549	1.065	77.5
29350	29550	1.029	77.5
29351	29551	1.065	77.5
29352	29552	1.076	77.0
29353	29553	1.040	77.0
29354	29554	1.076	77.0
29355	29555	1.087	76.5
29356	29556	1.069	77.0
29357	29557	1.058	77.5
29358	29558	1.069	77.0
29359	29559	1.034	77.0
29360	29560	1.051	76.5
29361	29561	1.051	76.5
29362	29562	1.069	77.0
29363	29563	1.063	77.0
29364	29564	1.052	77.5
29365	29565	1.069	77.0
29366	29566	1.069	77.0
29367	29567	1.034	77.0
29368	29568	1.040	77.0
29369	29569	1.058	76.5
29370	29570	1.058	76.5
29371	29571	1.058	76.5
29372	29572	1.058	76.5
29373	29573	1.051	76.5
29374	29574	1.069	76.0
29375	29575	1.081	75.5
29376	29576	1.062	76.0
29377	29577	1.081	75.5
29378	29578	1.088	75.5
29379	29579	1.107	75.0
29380	29580	1.107	75.0
29381	29581	1.107	75.0
29382	29582	1.107	75.0
29383	29583	1.125	75.5
29384	29584	1.125	75.5
29385	29585	1.125	75.5
29386	29586	1.125	75.5
29387	29587	1.155	75.5
29388	29588	1.168	75.0
29389	29589	1.130	75.0
29390	29590	1.150	74.5
29391	29591	1.143	74.5
29392	29592	1.098	74.5
29393	29593	1.104	74.5
29394	29594	1.104	74.5
29395	29595	1.136	74.5
29396	29596	1.136	74.5
29397	29597	1.136	74.5
29398	29598	1.136	74.5
29399	29599	1.123	75.0
29400	29600	1.143	74.5
29401	29601	1.143	74.5
29402	29602	1.143	74.5
29403	29603	1.104	74.5
29404	29604	1.112	74.5
29405	29605	1.143	74.5
29406	29606	1.155	74.0
29407	29607	1.110	74.0
29408	29608	1.117	74.0
29409	29609	1.090	73.5
29410	29610	1.109	73.0
29411	29611	1.122	72.5
29412	29612	1.122	72.5
29413	29613	1.122	72.5
29414	29614	1.115	72.5
29415	29615	1.076	72.5
29416	29616	1.094	72.0
29417	29617	1.101	72.0
29418	29618	1.121	71.5
29419	29619	1.101	72.0
29420	29620	1.101	72.0
29421	29621	1.114	71.5
29422	29622	1.094	72.0
29423	29623	1.094	72.0
29424	29624	1.082	72.5
29425	29625	1.042	72.5
29426	29626	1.049	72.5
29427	29627	1.060	72.0
29428	29628	1.020	72.0
29429	29629	1.038	71.5
29430	29630	1.050	71.0
29431	29631	1.008	71.0
29432	29632	1.015	71.0
29433	29633	1.027	70.5
29434	29634	1.027	70.5
29435	29635	0.977	70.5
29436	29636	0.996	70.0
29437	29637	0.996	70.0
29438	29638	0.996	70.0
29439	29639	1.007	69.5
29440	29640	0.996	70.0
29441	29641	0.996	70.0
29442	29642	1.032	70.0
29443	29643	1.032	70.0
29444	29644	1.032	70.0
29445	29645	1.020	70.5
29446	29646	1.039	70.0
29447	29647	1.007	69.5
29448	29648	1.026	69.0
29449	29649	1.019	69.0
29450	29650	1.031	68.5
29451	29651	1.031	68.5
29452	29652	1.019	69.0
29453	29653	1.019	69.0
29454	29654	1.031	68.5
29455	29655	1.044	68.0
29456	29656	0.999	68.0
29457	29657	1.044	68.0
29458	29658	1.031	68.5
29459	29659	1.051	68.0
29460	29660	0.999	68.0
29461	29661	1.005	68.0
29462	29662	0.960	68.0
29463	29663	0.978	67.5
29464	29664	0.997	67.0
29465	29665	0.997	67.0
29466	29666	0.985	67.5
29467	29667	0.985	67.5
29468	29668	0.985	67.5
29469	29669	0.985	67.5
29470	29670	0.993	67.5
29471	29671	1.013	67.0
29472	29672	1.013	67.0
29473	29673	1.005	67.0
29474	29674	1.005	67.0
29475	29675	1.017	66.5
29476	29676	0.969	66.5
29477	29677	0.988	66.0
29478	29678	0.969	66.5
29479	29679	0.913	66.5
29480	29680	0.913	66.5
29481	29681	0.902	67.0
29482	29682	0.902	67.0
29483	29683	0.913	66.5
29484	29684	0.876	66.0
29485	29685	0.876	66.0
29486	29686	0.882	66.0
29487	29687	0.882	66.0
29488	29688	0.882	66.0
29489	29689	0.844	65.5
29490	29690	0.850	65.5
29491	29691	0.850	65.5
29492	29692	0.882	66.0
29493	29693	0.890	66.0
29494	29694	0.879	66.5
29495	29695	0.890	66.0
29496	29696	0.900	65.5
29497	29697	0.890	66.0
29498	29698	0.897	66.0
29499	29699	0.897	66.0
29500	29700	0.847	66.0
29501	29701	0.897	66.0
29502	29702	0.897	66.0
29503	29703	0.906	66.0
29504	29704	0.916	65.5
29505	29705	0.866	65.5
29506	29706	0.874	65.5
29507	29707	0.874	65.5
29508	29708	0.883	65.5
29509	29709	0.873	66.0
29510	29710	0.864	66.0
29511	29711	0.864	66.0
29512	29712	0.805	66.0
29513	29713	0.813	66.0
29514	29714	0.831	65.5
29515	29715	0.831	65.5
29516	29716	0.831	65.5
29517	29717	0.831	65.5
29518	29718	0.821	66.0
29519	29719	0.840	65.5
29520	29720	0.850	65.5
29521	29721	0.903	65.5
29522	29722	0.903	65.5
29523	29723	0.893	66.0
29524	29724	0.840	66.0
29525	29725	0.893	66.0
29526	29726	0.893	66.0
29527	29727	0.873	66.5
29528	29728	0.853	67.0
29529	29729	0.863	66.5
29530	29730	0.844	67.0
29531	29731	0.844	67.0
29532	29732	0.875	67.5
29533	29733	0.826	67.5
29534	29734	0.835	67.5
29535	29735	0.835	67.5
29536	29736	0.825	68.0
29537	29737	0.865	68.0
29538	29738	0.847	68.5
29539	29739	0.839	68.5
29540	29740	0.822	69.0
29541	29741	0.822	69.0
29542	29742	0.786	68.5
29543	29743	0.786	68.5
29544	29744	0.770	69.0
29545	29745	0.786	68.5
29546	29746	0.786	68.5
29547	29747	0.777	69.0
29548	29748	0.777	69.0
29549	29749	0.777	69.0
29550	29750	0.731	69.0
29551	29751	0.746	68.5
29552	29752	0.731	69.0
29553	29753	0.685	69.0
29554	29754	0.691	69.0
29555	29755	0.684	69.5
29556	29756	0.698	69.0
29557	29757	0.698	69.0
29558	29758	0.729	69.5
29559	29759	0.729	69.5
29560	29760	0.721	70.0
29561	29761	0.676	70.0
29562	29762	0.690	69.5
29563	29763	0.690	69.5
29564	29764	0.684	69.5
29565	29765	0.670	70.0
29566	29766	0.670	70.0
29567	29767	0.670	70.0
29568	29768	0.670	70.0
29569	29769	0.701	70.5
29570	29770	0.693	71.0
29571	29771	0.699	71.0
29572	29772	0.655	71.0
29573	29773	0.662	71.0
29574	29774	0.662	71.0
29575	29775	0.648	71.5
29576	29776	0.655	71.5
29577	29777	0.648	72.0
29578	29778	0.648	72.0
29579	29779	0.648	72.0
29580	29780	0.641	72.5
29581	29781	0.641	72.5
29582	29782	0.605	72.0
29583	29783	0.605	72.0
29585	29785	0.604	72.5
29590	29790	0.604	72.5
29591	29791	0.611	72.5
29592	29792	0.618	72.5
29593	29793	0.624	72.0
29600	29800	0.624	71.5
29601	29801	0.617	72.0
29602	29802	0.624	71.5
29603	29803	0.630	71.0
29607	29807	0.605	70.5
29610	29810	0.624	71.5
29611	29811	0.624	71.5
29612	29812	0.624	71.5
29613	29813	0.624	71.5
29614	29814	0.631	71.5
29615	29815	0.637	71.0
29616	29816	0.631	71.5
29617	29817	0.637	71.0
29618	29818	0.624	71.5
29619	29819	0.631	71.5
29620	29820	0.631	71.5
29621	29821	0.631	71.5
29622	29822	0.645	71.0
29623	29823	0.638	71.5
29624	29824	0.638	71.5
29625	29825	0.645	71.0
29626	29826	0.637	71.0
29627	29827	0.637	71.0
29628	29828	0.637	71.0
29629	29829	0.631	71.5
29630	29830	0.631	71.5
29631	29831	0.637	71.0
29632	29832	0.630	71.0
29633	29833	0.630	71.0
29634	29834	0.624	71.5
29635	29835	0.637	71.0
29636	29836	0.637	71.0
29637	29837	0.644	70.5
29638	29838	0.651	70.0
29639	29839	0.644	70.5
29640	29840	0.644	70.5
29641	29841	0.604	70.0
29642	29842	0.611	70.0
29643	29843	0.611	70.0
29644	29844	0.604	70.0
29645	29845	0.611	69.5
36786	36986	0.645	57.5
36787	36987	0.637	58.0
36788	36988	0.623	58.0
36789	36989	0.645	57.5
36790	36990	0.660	57.5
36791	36991	0.660	57.5
36792	36992	0.660	57.5
36793	36993	0.653	58.0
36794	36994	0.653	58.0
36795	36995	0.637	58.0
36796	36996	0.616	58.5
36797	36997	0.623	58.0
36798	36998	0.616	58.5
36799	36999	0.603	58.5
36800	37000	0.603	58.5
36805	37005	0.605	57.5
36806	37006	0.605	57.5
36807	37007	0.625	57.0
36808	37008	0.625	57.0
36809	37009	0.625	57.0
36810	37010	0.633	56.5
36811	37011	0.633	56.5
36812	37012	0.640	56.0
36813	37013	0.640	56.0
36814	37014	0.648	55.5
36815	37015	0.657	55.0
36816	37016	0.678	54.5
36817	37017	0.678	54.5
36818	37018	0.687	54.0
36819	37019	0.678	54.5
36820	37020	0.665	54.5
36821	37021	0.665	54.5
36822	37022	0.665	54.5
36823	37023	0.674	54.0
36824	37024	0.665	54.5
36825	37025	0.665	54.5
36826	37026	0.653	54.5
36827	37027	0.653	54.5
36828	37028	0.674	54.0
36829	37029	0.674	54.0
36830	37030	0.674	54.0
36831	37031	0.683	53.5
36832	37032	0.683	53.5
36833	37033	0.692	53.0
36834	37034	0.701	52.5
36835	37035	0.711	52.0
36836	37036	0.711	52.0
36837	37037	0.711	52.0
36838	37038	0.711	52.0
36839	37039	0.734	51.5
36840	37040	0.734	51.5
36841	37041	0.744	51.0
36842	37042	0.755	50.5
36843	37043	0.755	50.5
36844	37044	0.731	51.0
36845	37045	0.731	51.0
36846	37046	0.731	51.0
